Strata,BETA,SEBeta,RR,Low95$CI,Upper95%CI,BETA,SEBeta,RR,Low95$CI,Upper95%CI,BETA,SEBeta,RR,Low95$CI,Upper95%CI,BETA,SEBeta,RR,Low95$CI,Upper95%CI
Air Pollutant:,AQHI,,IQR=1,,,CO,,IQR=0.1,,,O3,,IQR=12.8,,,PM2.5,,IQR=6.5,,
Cold Male,0.004228557,0.0109699,1.00423751,0.982875867,1.026063,-0.08115034,0.07597479,0.991917804,0.977256529,1.006799,0.000305093,0.001361737,1.003912827,0.970195129,1.038802,-0.000424597,0.00122751,0.997243923,0.981769857,1.012962
Age 0-10 All,0.02765537,0.02798542,1.028041329,0.97317043,1.086006,0.2127377,0.23593,1.02150167,0.975340625,1.069847,0.001377654,0.003356003,1.017790368,0.935605438,1.107195,0.005494805,0.003466124,1.036361719,0.991593348,1.083151
Age 0-10 Female,0.000433117,0.038214677,1.000433211,0.928237502,1.078244,0.1613868,0.3180841,1.016269612,0.954845431,1.081645,-0.005997369,0.004690832,0.926106238,0.82328741,1.041766,0.005784818,0.00468635,1.038317191,0.978139695,1.102197
Age 0-10 Male,0.04859338,0.03664635,1.049793397,0.977034353,1.127971,0.2506481,0.3118884,1.025381573,0.964577289,1.090019,0.0068346,0.004321072,1.091423579,0.979293217,1.216393,0.005063514,0.004572041,1.03346046,0.974983276,1.095445
Age 11-60 All,0.000583559,0.010191412,1.000583729,0.980795199,1.020772,-0.06144838,0.08899487,0.993874003,0.976688186,1.011362,-0.000259364,0.001217765,0.996685645,0.966696058,1.027606,0.000225014,0.001284261,1.001463662,0.985211545,1.017984
Age 11-60 Female,0.003133986,0.013164081,1.003138902,0.977587367,1.029358,-0.04396991,0.11468756,0.995612662,0.973482186,1.018246,-0.000346765,0.001575434,0.995571241,0.956989281,1.035709,0.001330487,0.001650562,1.008685669,0.987696322,1.030121
Age 11-60 Male,-0.003043238,0.015698065,0.996961388,0.966753773,1.028113,-0.08742026,0.13755715,0.991296074,0.964926615,1.018386,-0.000131247,0.001871636,0.998321454,0.952528203,1.046316,-0.001389035,0.001992732,0.991011909,0.966169366,1.016493
Age 60+All,0.00253424,0.009461033,1.002537454,0.984118084,1.021302,0.0272678,0.08216417,1.002730501,0.986711682,1.019009,-0.00176205,0.00113622,0.977698205,0.950221915,1.005969,0.001368094,0.001181014,1.008932268,0.993865387,1.024228
Age 60+ Female,-0.007022627,0.012408587,0.993001974,0.969142657,1.017449,0.06344206,0.10755396,1.006364373,0.985371679,1.027804,-0.004361492,0.00149065,0.945702636,0.910988938,0.981739,0.00120251,0.001546801,1.007846942,0.988180476,1.027905
Age 60+ Male,0.01408421,0.01349259,1.01418386,0.98771482,1.041362,-0.01710389,0.11746236,0.998291073,0.975570343,1.021541,0.001351273,0.001619066,1.017446741,0.976947042,1.059625,0.001575547,0.001687745,1.010293675,0.98880235,1.032252
All: LAG 4,-0.003642381,0.006992618,0.996364244,0.982801696,1.010114,-0.04310487,0.06035155,0.99569879,0.983990151,1.007547,-0.000865019,0.000835705,0.988988825,0.968469383,1.009943,0.00040901,0.000877643,1.0026621,0.991513601,1.013936
Female,-0.007557205,0.009079738,0.992471279,0.974965209,1.010292,-0.04265877,0.07800478,0.995743209,0.980635141,1.011084,-0.001313624,0.001085654,0.983326186,0.956904891,1.010477,0.000615257,0.001139181,1.004007175,0.98954108,1.018685
Male,0.001339213,0.010048573,1.00134011,0.981811455,1.021257,-0.04323433,0.08724193,0.9956859,0.978804988,1.012858,-0.000294599,0.001200362,0.996236232,0.966682132,1.026694,0.000150636,0.001261858,1.000979611,0.985016452,1.017201
Warm All,-0.004237922,0.006584753,0.995771045,0.983002085,1.008706,-0.02520837,0.07521049,0.997482338,0.982886043,1.012295,-0.000187419,0.000776167,0.997603907,0.97836601,1.017220,0.001025887,0.000924117,1.006690547,0.994908025,1.018613
Warm Female,-0.010269443,0.008690364,0.989783108,0.973066789,1.006787,-0.06815111,0.0989225,0.993208059,0.974136422,1.012653,0.000420265,0.001024384,1.005393886,0.979884724,1.031567,0.000221234,0.001220736,1.001439054,0.985984976,1.017135
Warm Male,0.003480195,0.00933674,1.003486258,0.985289458,1.022019,0.03155386,0.1071156,1.003160369,0.982318906,1.024444,-0.00097308,0.001100535,0.987621822,0.960726373,1.015270,0.00207712,0.001309372,1.013592834,0.996824932,1.030643
