Strata,BETA,SEBeta,RR,Low95$CI,Upper95%CI,BETA,SEBeta,RR,Low95$CI,Upper95%CI,BETA,SEBeta,RR,Low95$CI,Upper95%CI,BETA,SEBeta,RR,Low95$CI,Upper95%CI
Air Pollutant:,AQHI,,IQR=1,,,CO,,IQR=0.1,,,O3,,IQR=12.8,,,PM2.5,,IQR=6.5,,
Age 11-60 Female,0.02106074,0.0115226,1.021284083,0.998477604,1.044611,0.16401753,0.09995926,1.016537,0.996814822,1.036649,7.36612E-05,0.001368374,1.000943308,0.967164283,1.035902,0.002780243,0.001444013,1.018235859,0.999674907,1.037141
Age 11-60 Male,0.01546081,0.01122921,1.015580947,0.993472953,1.038181,0.15643216,0.09919747,1.015766212,0.996207721,1.035709,0.000470053,0.001351226,1.00603482,0.97250226,1.040724,0.001436454,0.001406214,1.009380676,0.991458473,1.027627
Age 60+All,0.006376212,0.007288439,1.006396583,0.992122066,1.020876,-0.01658453,0.06388836,0.998342921,0.985919499,1.010923,0.000837031,0.000876828,1.010771591,0.988779549,1.033253,0.000981964,0.000910867,1.006403181,0.994791926,1.018150
Age 60+ Female,0.002998989,0.009536242,1.00300349,0.984430433,1.021927,-0.024006,0.08366875,0.997602279,0.981375937,1.014097,0.000361371,0.001148151,1.004636261,0.976110708,1.033995,0.000495578,0.001195248,1.003226451,0.988065589,1.018620
Age 60+ Male,0.0106418,0.01053269,1.010698625,0.990047584,1.031780,-0.007016616,0.09221113,0.999298585,0.98140011,1.017523,0.001427267,0.001265955,1.018436917,0.986599338,1.051302,0.001599188,0.001311698,1.010448935,0.993703595,1.027476
All: LAG 3,0.01397187,0.0055187,1.014069933,1.003160201,1.025098,0.10407973,0.04816682,1.010462324,1.000967744,1.020047,8.79198E-05,0.000662375,1.001126007,0.984627108,1.017901,0.00127287,0.000691394,1.008307975,0.99946544,1.017229
Female,0.015603868,0.007429066,1.015726244,1.001043443,1.030624,0.1018823,0.06476559,1.010240307,0.997497311,1.023146,0.000680873,0.000892141,1.008753262,0.986426106,1.031586,0.001119289,0.000931822,1.007301906,0.995414511,1.019331
Male,0.012159585,0.007701359,1.012233813,0.997069224,1.027629,0.10599393,0.06729436,1.010655766,0.99741305,1.024074,-0.000566433,0.000922794,0.992775874,0.970056068,1.016028,0.001446074,0.000963127,1.009443797,0.997133366,1.021906
Warm All,0.012533364,0.005171621,1.012612236,1.002399862,1.022929,0.15399495,0.05990397,1.015518678,1.003665017,1.027512,0.001020856,0.000609386,1.013152703,0.997781151,1.028761,0.001166136,0.000721815,1.007608683,0.99838527,1.016917
Warm Female,0.007944247,0.006935161,1.007975886,0.994367255,1.021771,0.08064766,0.08038333,1.008097374,0.992339129,1.024106,0.002482939,0.000816455,1.032292041,1.01136247,1.053655,0.000464348,0.000969952,1.00302282,0.990704543,1.015494
