Strata,BETA,SEBeta,RR,Low95$CI,Upper95%CI,BETA,SEBeta,RR,Low95$CI,Upper95%CI,BETA,SEBeta,RR,Low95$CI,Upper95%CI,BETA,SEBeta,RR,Low95$CI,Upper95%CI
Air Pollutant:,AQHI,,IQR=1,,,CO,,IQR=0.1,,,O3,,IQR=12.8,,,PM2.5,,IQR=6.5,,
Age 0-10 Female,-0.001300807,0.040641837,0.998700039,0.92223168,1.081509,0.07509361,0.3518778,1.007537627,0.940391795,1.079478,-0.005178884,0.005050213,0.935859692,0.824490665,1.062272,0.001156763,0.005016137,1.007547298,0.945173637,1.074037
Age 0-10 Male,0.124229644,0.039590506,1.132275862,1.047736635,1.223636,0.246379,0.3208223,1.024943921,0.962478769,1.091463,0.00824263,0.00492087,1.111272399,0.982211003,1.257292,0.013346692,0.004834202,1.090627805,1.025485095,1.159909
Age 11-60 All,0.010016476,0.008300128,1.010066809,0.993767727,1.026633,-0.0416514,0.07229019,0.995843522,0.981833028,1.010054,-3.37E-05,9.99E-04,0.999568162,0.974819842,1.024945,0.001275975,0.001035924,1.008328327,0.99510817,1.021724
Age 11-60 Female,0.003269356,0.00907284,1.003274706,0.985591401,1.021275,-0.05431174,0.07906992,0.994583548,0.979288611,1.010117,-6.57E-05,1.09E-03,0.999159705,0.972135822,1.026935,0.000779551,0.001133652,1.005079938,0.990668169,1.019701
Age 11-60 Male,0.02143981,0.01029349,1.021671294,1.00126537,1.042493,-0.02068779,0.08955718,0.997933359,0.980569272,1.015605,2.36E-05,1.24E-03,1.000302713,0.969707604,1.031863,0.002109206,0.001282405,1.01380425,0.997375449,1.030504
Age 60+All,0.006817348,0.007980401,1.006840639,0.991214581,1.022713,-0.0271378,0.06963671,0.997289899,0.983770565,1.010995,-0.001048466,0.000954631,0.986669287,0.963319499,1.010585,0.000872582,0.000998354,1.005687898,0.992977522,1.018561
Age 60+ Female,0.00732349,0.00910849,1.007350372,0.989526087,1.025496,-0.04588705,0.07958846,0.995421807,0.980014371,1.011071,-0.000503125,0.001090621,0.993580699,0.966763387,1.021142,0.00061661,0.001141378,1.004016005,0.989522081,1.018722
Age 60+ Male,0.006456833,0.008882157,1.006477723,0.989107562,1.024153,-0.01162126,0.07741439,0.998838549,0.983797352,1.014110,-0.001492949,0.001061563,0.981071686,0.955288166,1.007551,0.0010884,0.001109641,1.007099684,0.992962653,1.021438
All: LAG 4,0.004341825,0.007557122,1.004351264,0.989584487,1.019338,-0.05276825,0.0648569,0.994737073,0.982172055,1.007463,-4.16E-05,8.99E-04,0.999467839,0.977167454,1.022277,0.000718978,0.000951739,1.004684294,0.992575899,1.016940
Female,0.000427326,0.008077976,1.000427417,0.984712551,1.016393,-0.1004704,0.06926258,0.990003263,0.976654322,1.003535,0.000407053,0.000960391,1.005223874,0.981293186,1.029738,0.000225433,0.001018085,1.001466386,0.988560842,1.014540
Male,0.008694536,0.008290637,1.008732443,0.992473356,1.025258,0.000429007,0.071224881,1.000042902,0.98617922,1.014101,-0.000542237,0.000987901,0.993083393,0.968772873,1.018004,0.001267772,0.001043318,1.008274565,0.994961383,1.021766
Warm All,0.017050337,0.006235273,1.017196524,1.004840881,1.029704,0.08020168,0.0716938,1.008052416,0.993986338,1.022318,0.002691662,0.000737776,1.035053662,1.016071728,1.054390,0.003123206,0.000878557,1.020508303,1.009149623,1.031995
